day_0.00	day_2.00	day_4.00	day_6.00	day_7.50	day_8.00	day_8.50	day_10.00	day_10.50	day_11.00	day_11.50	day_12.00	day_14.00
BACH1	863.44	389.46	642.93	715.02	516.55	425.28	554.62	501.62	521.87	405.00	289.28	283.10	0.00
BCL11A_XL_L	4131.66	3514.77	3697.70	2649.04	2522.29	2075.79	1351.88	1786.06	2231.22	2277.72	1814.53	1400.94	1775.33
CBP	2570.65	4390.22	8374.51	3291.45	6048.53	6233.66	7046.02	7478.22	8489.86	8824.94	2927.86	1952.52	2244.33
CEBPB	8232.69	12200.31	22583.25	13512.08	9899.31	9019.66	10335.44	13861.13	6211.59	15092.54	5793.52	5712.83	4653.02
CHD1	3183.70	3940.79	4394.06	3708.07	7307.28	6627.26	7636.04	6352.13	7618.00	6196.00	2022.96	1107.40	1287.79
CHD3	12809.51	13006.60	16208.47	5203.63	7992.96	11294.10	11565.17	10638.91	12720.82	10945.10	12030.87	10615.30	9493.42
CHD4	65492.05	386516.86	552462.87	274408.06	377115.82	445870.56	477034.41	489606.60	512021.72	441319.80	190270.87	174779.43	144090.21
coREST	7178.77	16264.12	29837.34	14658.12	25637.07	28516.03	29683.07	27512.12	36404.69	40507.96	21718.99	16896.31	13461.32
CTBP2	0.00	31750.35	72643.43	63499.64	93246.66	89801.11	93152.13	103275.67	109768.05	105058.19	58390.58	55832.51	37637.43
CTCF	33795.80	90862.32	93193.29	41105.04	82271.53	66044.41	67077.34	84670.95	99890.92	113393.23	48298.33	44434.68	49440.03
DNMT1	2537.36	17971.71	32070.89	9363.23	21693.28	27276.59	27499.28	30705.89	26888.25	26847.62	10783.58	7741.59	10414.54
DOT1L	0.00	1294.56	1309.69	1061.82	1190.37	1294.44	1288.08	1589.24	1296.81	1305.41	606.57	439.27	0.00
E12/E47	1707.26	3352.92	7834.26	5443.94	9188.59	7239.46	7094.20	6993.46	9936.93	10106.98	5277.39	4088.28	4049.12
E2F4	1278.42	1369.58	2813.40	2433.18	3358.69	3969.96	4097.91	4357.17	6021.82	6038.90	2392.51	2042.92	2746.85
E2F8	0.00	46.86	292.74	210.86	308.49	281.22	308.58	376.15	324.64	327.36	190.78	168.12	228.29
EGR1	0.00	435.61	0.00	0.00	2356.21	3315.01	2924.66	1087.20	3665.08	2065.36	0.00	0.00	0.00
ELF1	11457.29	19284.96	42217.51	21196.65	25305.25	34051.60	37443.50	33504.60	49145.62	37694.96	11442.50	6584.77	4090.35
EP300	13031.61	1253.11	8876.33	2518.43	4783.61	4824.91	7182.13	7083.68	8885.78	4001.41	9379.47	7716.90	9658.78
ERG	11374.39	8308.57	3714.89	1384.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ETF1	6788.88	5995.42	11149.64	6852.73	4712.98	5752.79	6423.31	4685.93	8336.47	5622.93	6477.74	3800.71	4932.21
ETV6	23091.42	18228.04	13364.66	4731.95	8042.38	8481.08	8907.82	4196.55	5001.99	5874.63	0.00	0.00	0.00
FLI1	3877.09	2807.45	2605.72	992.87	411.80	345.06	440.40	0.00	0.00	0.00	0.00	0.00	0.00
FOXO3	1467.45	3496.37	5525.30	7554.23	6012.17	12536.99	13821.66	12418.83	12620.56	12822.29	9649.64	6477.00	11069.72
GATA1	2026.25	14852.27	36520.37	30328.85	34659.76	33078.66	35327.02	42352.56	41454.88	36903.32	28261.84	23826.68	33487.06
GATA2	1084.01	3655.93	6335.29	4207.05	3970.97	4718.83	6485.85	4724.56	4389.60	3279.38	925.07	463.86	224.17
GATAD2A	16266.25	37656.33	63409.20	26998.32	50997.49	53083.48	51263.94	53656.40	66842.27	63827.33	19771.16	9745.29	11402.22
GATAD2B	44313.39	131825.51	185596.17	67373.31	161246.64	134361.53	136768.92	141647.17	158068.10	163843.74	125959.25	95019.70	53293.58
GFI1B	0.00	455.71	1452.44	734.74	1365.00	1464.97	1420.34	1544.70	1748.58	4475.38	2082.01	1128.23	1086.78
GR	785.64	678.99	537.95	356.47	687.95	566.03	716.73	642.14	975.40	1149.21	463.49	344.87	416.39
HCFC1	5214.08	12207.56	14758.39	10896.71	14346.40	15329.38	14535.33	18334.49	19876.60	14976.62	10138.56	7818.82	8761.06
HDAC1	84784.19	47881.59	43641.13	25796.87	34889.39	72555.16	69622.91	63326.71	49317.83	66207.39	46893.88	43237.73	27491.24
HDAC2	9016.64	16520.56	13621.72	9075.28	16652.59	21184.25	20173.91	15955.86	20350.62	23700.85	11650.82	12120.90	7865.11
HDAC3	13903.23	33911.91	57921.56	21969.20	70008.36	64135.37	68127.25	62594.28	78731.13	67299.80	57346.29	40488.95	24444.91
HLTF	4616.83	8674.10	11602.11	10486.66	17206.19	18034.93	18042.92	16150.77	17500.97	11215.03	11031.95	8058.26	6488.08
HMGB3	58374.03	52884.46	146735.75	108980.81	53754.39	93109.48	81136.82	82022.48	102580.33	102697.35	42742.70	31592.16	50402.40
HXB4	1814.73	3762.13	5945.07	4464.75	6365.55	5309.67	7044.04	6778.20	6673.98	5569.57	2793.01	1788.58	384.15
IKZF1	9016.34	16918.31	28405.55	17607.91	13642.49	15228.51	16960.48	17353.05	18295.50	17815.55	8025.11	6153.64	7004.16
JUN	0.00	0.00	0.00	0.00	0.00	1164.46	0.00	0.00	0.00	498.69	1808.94	1259.91	526.52
JUND	4632.05	9848.88	15408.71	10270.73	6375.36	20102.87	17406.14	16768.74	18090.85	17758.61	9534.47	8425.81	6010.38
KAT2A	0.00	0.00	0.00	445.65	1206.66	1399.87	1418.19	1118.66	1022.23	1181.97	648.25	486.77	327.59
KDM1A	32312.08	45484.84	38912.19	32928.61	38732.39	39011.49	43384.24	40594.99	45313.05	58190.45	30327.26	32427.23	26344.57
KLF1	0.00	1989.04	6828.43	6360.25	14445.62	12138.34	11634.26	15864.46	14957.07	17719.19	8394.84	7888.13	8196.32
KLF13	1081.99	3234.52	3080.28	2036.91	3604.02	3605.49	3232.35	4071.16	4681.23	5158.50	3144.30	2064.52	2114.53
KLF3	0.00	2167.52	4849.70	3442.33	9487.86	9005.53	8193.26	10917.91	12445.74	14269.27	5597.59	5444.67	7651.91
LDB1	9246.34	14803.27	34792.33	20389.26	26072.74	25035.02	23398.80	35214.99	47593.52	42152.67	19826.00	19555.49	20715.73
MAFF	0.00	6634.58	13484.65	9749.38	8248.68	11255.76	18869.76	13085.78	11854.75	11745.59	0.00	0.00	2053.13
MAFG	22470.54	54458.85	60790.35	42085.63	40135.65	35431.04	42154.44	56875.80	40781.65	55466.35	32984.38	31936.27	49491.47
MED1	1703.21	3703.13	5717.94	2008.19	5863.76	6166.52	6460.18	6741.90	7624.06	6249.22	3026.33	1786.78	1623.20
MLL3	2284.20	4298.89	5413.26	3064.52	6630.60	5454.22	8054.44	6504.61	6268.19	7774.62	7066.89	1091.02	1158.44
MLL4 (KMT2D)	3640.65	5296.85	8394.85	4550.93	9028.60	8026.57	6063.01	7683.17	7479.95	6577.48	1865.60	1103.06	1594.83
MNDA	51805.70	11848.38	1587.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MTA1	8677.98	17581.85	20877.67	6330.75	15461.28	16596.01	15384.55	15384.92	15473.31	14487.36	8968.40	7491.98	5662.17
NC2B	25320.36	11678.63	24167.12	35772.33	22741.85	45707.35	52194.85	34338.53	37663.91	31610.80	48239.59	32246.20	23143.20
NELFE	1036.29	1644.76	2486.45	1923.44	2838.94	2934.04	3277.56	3265.94	4467.37	4377.72	2091.73	1652.13	1133.51
NFE2	11559.76	11124.04	14025.51	10509.01	10947.45	9662.19	13126.18	11777.02	18042.54	13601.55	9219.30	8834.02	16487.21
NR2C2	3911.87	5478.76	8714.85	5906.00	5586.94	5415.59	5451.97	6247.04	6936.09	6762.39	2833.77	1945.55	3120.82
NRF1	21314.81	15496.91	19165.89	15074.74	17625.13	17997.56	18290.80	18320.95	22879.04	23259.57	16762.20	14892.77	14626.12
OGT	2708.37	10091.01	19346.51	6472.80	11946.34	12632.23	15133.47	18338.22	18559.34	14488.84	8599.28	5391.88	5258.70
PARP1	119187.84	153020.88	131967.02	110913.16	126632.38	121913.20	128825.84	144403.81	131857.93	124410.09	45757.28	30562.13	38748.65
PO2F1	3220.96	4066.08	9014.14	5938.08	9620.33	7130.96	6986.99	6381.39	7859.68	7305.26	4321.07	3915.02	2889.32
PSIP1	23325.74	33001.61	24963.78	18224.51	20864.31	25619.64	24401.61	20654.20	22035.08	24197.81	20499.61	18917.49	10637.79
RAD21	5685.36	9379.37	13073.39	17680.28	15547.12	19331.30	18858.18	17554.46	20711.41	18811.37	10771.29	9584.14	7866.89
RFX5	31300.43	71736.46	26622.99	16732.38	15266.19	17137.90	18467.55	13851.76	16868.63	25319.34	7957.76	3489.68	10555.08
RPB1	25173.12	65945.39	81110.57	58849.82	86528.29	70405.03	70990.23	84280.54	97518.03	101357.03	43937.81	44515.84	35134.09
RUNX1	5143.25	14158.22	12276.34	6281.90	6550.44	7947.75	8072.70	8290.23	8200.79	7790.20	3001.94	2136.17	1425.53
RXRB	1513.16	3909.50	4545.19	2004.55	4143.17	4236.85	4906.61	4664.45	4567.23	4559.76	2266.01	1706.26	1377.52
SAP130	12487.24	23618.08	36868.31	24895.56	23664.05	28638.18	23686.81	32216.37	34409.57	34535.35	21962.54	14486.79	14155.25
SCML2	1614.58	8441.09	10354.51	6501.31	9010.61	8164.07	8169.89	9691.78	9785.82	8565.92	3620.40	2730.26	4865.61
SET1B	1278.18	3227.96	3604.97	1170.19	3069.04	3902.28	3605.36	3687.23	4424.08	4415.21	317.28	268.17	0.00
SETB1	1435.55	6146.73	10768.46	6331.64	8034.93	9433.83	9169.80	11872.79	12420.83	11027.62	3883.48	3698.59	2296.12
SIN3A	4967.66	7138.08	11191.19	6923.43	7877.11	7821.81	7245.28	8454.44	9322.30	7702.06	4417.50	3370.60	3239.20
SIR6	4205.80	6844.60	13436.76	10459.83	13499.60	15012.58	13983.83	17358.47	19445.66	16315.58	6365.19	4745.63	4587.62
SMC3	10259.79	11955.33	23296.90	13782.10	15848.76	16313.19	16694.82	19429.99	24012.34	25305.00	10860.11	7581.86	9918.57
SMCA4	0.00	2662.85	3676.81	3011.86	3874.09	4017.48	3603.73	4238.19	3405.94	3228.07	2291.79	1954.27	1874.84
SMRC1	58247.46	118546.72	216135.11	132581.45	154017.02	131975.95	127939.06	138214.26	130559.16	151801.77	39183.77	31506.64	33942.62
SNF5	7717.20	23433.88	29939.03	21506.39	27453.57	27839.37	27813.38	28480.73	30390.88	26816.72	18093.23	15132.09	11798.88
SOX6	847.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8155.10
SPI1	54363.47	40001.58	26893.66	13222.40	7756.89	8918.01	9608.76	5563.11	7610.89	0.00	0.00	0.00	0.00
SSRP1	31086.86	83147.14	76748.38	22180.14	49624.53	63431.43	66038.78	64789.24	76789.23	76828.53	46100.48	26763.06	25104.89
STA5A	965.77	1597.32	3603.88	2086.76	3575.48	4239.94	5196.59	4329.00	4115.09	4431.83	2667.41	1631.62	754.69
STAT1	2023.86	5639.36	4347.83	2080.77	3336.46	4623.20	5605.01	4855.02	5123.44	5268.29	4790.90	5414.77	7205.08
STAT2	10203.60	14999.64	7631.40	3825.12	4669.31	5985.36	7399.68	6218.15	7789.20	6677.81	11607.08	13679.24	21138.94
STAT3	509.69	441.53	373.37	545.10	756.59	901.13	1148.77	803.38	1036.52	1090.08	1662.03	1169.62	1185.11
SUZ12	864.28	1726.17	3028.24	2323.01	3224.40	3141.84	3494.68	3907.46	4014.72	3355.37	1721.28	1274.83	1321.80
T2FA	1267.57	2047.78	1965.69	2098.60	1591.07	2896.86	3684.15	2773.24	3580.21	4472.45	1950.98	1831.71	1329.40
TAL1	1794.22	5953.94	12820.65	12182.29	13410.79	12004.37	11709.79	14859.97	17155.35	18858.65	8732.09	7795.19	8419.92
TF2B	8026.08	13756.24	16674.82	10402.03	15889.68	16065.25	15204.97	18572.67	20277.09	19744.00	17491.74	17437.84	13037.39
TF3C2	2001.94	4832.42	8260.52	4419.26	6837.49	6685.75	6429.84	8272.68	7968.01	6654.67	2456.53	1671.92	2196.91
TFCP2	9153.17	6861.44	17157.03	13407.09	7397.11	6771.52	8366.46	7831.72	9158.23	3623.55	2770.67	1398.77	2910.76
TFDP1	12403.67	7861.84	9560.09	6296.95	13638.38	15257.99	14271.71	12869.55	11718.00	11264.57	10115.31	7254.16	9277.73
TRIM28	58844.23	160955.58	162847.93	164740.29	173789.03	178481.33	183173.63	197250.54	201942.85	206635.15	211327.45	189449.06	110980.69
TRIM33	3645.51	10093.03	19851.22	14200.50	20696.70	19755.18	20312.80	25379.36	25384.84	25800.43	12503.28	11168.72	11323.92
TTF2	0.00	2043.84	1714.57	1188.42	1468.26	1330.78	1687.01	1711.55	1132.28	874.23	520.26	188.42	272.64
UBF1	48642.38	37263.34	68546.55	51528.91	68022.52	53669.82	56159.97	69842.73	62969.47	50560.44	51108.47	43295.63	31504.79
USF1	8168.69	6558.67	8465.60	4509.94	6055.60	6320.85	6867.22	7037.33	7764.09	9023.72	4531.11	3316.49	3636.02
UTX	1061.48	1902.07	2635.51	884.58	2274.28	2141.11	2437.47	2425.02	2584.45	3582.56	1181.21	1131.66	1001.23
WDHD1	0.00	2333.28	5847.01	3045.61	4644.10	6824.90	7039.81	10253.22	11044.71	11351.95	4453.87	4391.23	2561.47
WDR5	22488.48	33942.51	54520.70	37506.91	45646.78	48795.00	48574.21	65015.42	76967.27	80013.97	48284.67	41040.88	31071.92
ZBTB7A	10488.21	18771.98	37848.46	21896.04	59518.67	53631.57	53167.91	58809.30	61630.80	65037.04	28287.64	23989.25	25638.45
ZC11A	1690.57	4355.46	6446.20	5842.62	5941.12	6224.64	6510.51	6661.20	6045.83	5704.23	2936.00	2416.13	2103.20
# HBB	Note: For HBB and HBG1/2 many values are above linear range. True values would be higher.	172866.39	143382.62	19627.12	38763.65	59618.86	124491.94	176910.03	222326.04	463805.01	894402.66	615625.38	523652.91	1816106.59
# HBG1/2	Note: For HBB and HBG1/2 many values are above linear range. True values would be higher.	211650.35	386058.42	22481.44	20687.09	71819.09	144235.12	249048.27	378945.78	820509.95	1593527.78	1058989.86	950558.91	3288704.78
# ETO2	"Note: Many data points missing. ETO2, MLL1 and SPT16 omitted from heat maps and dynamical analysis."	ND	68137.29	122418.92	42214.10	ND	ND	ND	66293.47	70061.05	56381.36	ND	ND	ND
# MLL1	"Note: Many data points missing. ETO2, MLL1 and SPT16 omitted from heat maps and dynamical analysis."	ND	1864.99	3107.17	ND	1859.65	2229.82	2585.52	3806.55	3635.13	ND	2593.03	ND	ND
# SPT16	"Note: Many data points missing. ETO2, MLL1 and SPT16 omitted from heat maps and dynamical analysis."	10376.16	ND	ND	8083.03	9210.08	ND	ND	ND	ND	ND	12052.13	9571.60	7692.61
